1244,1895,1249,35920
187,15272,1541,13456
187,15282,167,30137
187,15283,167,30138
187,15284,167,30140
187,15285,486,24989
187,13613,514,10587
187,15310,514,10617
187,15335,182,32431
187,15336,182,32432
187,15339,177,5805
187,636,88,39621
187,15345,88,39622
187,15346,817,37594
187,15348,4379,26797
187,15351,521,40998
187,15360,177,5806
187,15361,1038,6817
187,15367,86,45463
187,15375,86,45464
187,15376,86,15271
187,15377,86,45472
187,15379,487,27916
187,15385,1596,14282
2781,37696,729,31559
6801,30045,6799,26003
5755,18723,317,26395
313,20085,1128,18633
182,32345,169,32860
182,32346,169,32861
182,32351,151,23092
182,32373,1804,16058
182,32412,92,34406
182,32413,92,34407
182,32422,141,228
182,32436,86,29450
182,32347,86,45437
182,236,471,12232
182,32444,4009,40512
3900,38682,552,52500
3480,52356,4263,35565
2953,13808,1445,6319
717,10153,379,17064
688,51284,355,5039
688,10041,42,39793
401,16729,520,2771
401,16763,2982,8191
401,16785,32,32621
401,16809,936,2880
2144,37082,1912,20601
2144,37085,417,3759
2937,13889,729,41849
2937,20098,731,18304
2937,10337,1707,41332
2937,6335,25,46114
2937,20114,4638,14299
2937,20130,2615,20133
2937,20131,2615,21404
2937,20132,2615,21405
2937,20134,2461,27294
2937,11610,2461,14513
2937,14084,2615,20099
2937,20147,1052,17968
2937,20149,36,51776
2937,20150,36,51778
2937,20155,804,7425
2937,9207,2276,48423
183,52389,142,14662
183,52392,142,14663
183,52422,7892,35805
183,52428,458,51590
183,52446,5661,18196
3314,13880,197,35833
2203,40364,995,23621
24,26934,191,55186
24,10262,22,10273
24,43003,148,40207
24,1252,148,40213
24,4626,46,13679
24,43017,46,13680
24,13667,46,13681
24,43020,40,18218
24,43021,46,13682
24,29443,46,13683
24,43040,49,43525
24,35589,204,53067
24,35557,204,53068
24,43048,204,11857
24,19014,267,10981
24,43049,267,10982
24,43052,1768,7596
24,43054,1768,7605
24,43081,2870,55274
24,43082,197,36175
24,43085,6303,41848
24,43101,2073,50875
2173,5128,86,45403
2173,5129,86,20847
2173,5134,1717,6074
3055,39294,1327,19719
3055,39295,1327,19720
5451,16887,4494,26977
5451,16888,473,24704
3688,39240,3316,9227
